project_id,project_name,industry_code,industry_name,town,has_acceptance_report,has_final_report,has_approval,has_review_comment,has_plastic_guide_keywords,has_glue_or_composite_process,has_vocs,has_activated_carbon,has_hazardous_waste,recommended_use,notes,industry_code_level,process_feature_p1_glue,process_feature_p2_coating,process_feature_p3_composite,process_feature_p4_printing,process_feature_p5_curing,bonus_b1_vocs,bonus_b2_activated_carbon,bonus_b3_waste_carbon,sample_grade,chain_description
SH_001,广辰伟业新材料 PMMA/PC,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,mvp_benchmark,有批复文号 环0303[2021]第0026号,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_002,顺德利兴塑料包装,C2926,塑料包装,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,mvp_benchmark,有批复文号,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_003,顺德翔润塑料制品 注塑模具50t,C2929,塑料零件,顺德,Y,Y,Y,N,Y,N,Y,Y,Y,reference_only,"纯注塑,非典型适用",core,0,0,0,0,0,1,1,1,B,受理+批复(3/4件)
SH_004,顺德区百洛涂料 粉末涂料600t,C2641,涂料制造,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,standard_application_case,"涂料行业,指南边缘适用",edge,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_005,顺德容桂注兴塑料制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,mvp_benchmark,有批复文号 环0304[2022]第0028号,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_006,佛山泰合塑料制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,N,Y,Y,Y,reference_only,需确认是否有胶水工艺,core,0,0,0,0,0,1,1,1,B,受理+批复(3/4件)
SH_007,佛山集美精塑料制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,N,Y,Y,Y,reference_only,2025年批复,core,0,0,0,0,0,1,1,1,B,受理+批复(3/4件)
SH_008,顺德容桂注兴塑料制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,experience_rule_source,注塑+胶水复合工艺,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_009,金亮塑胶科技 PET 500t,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,mvp_benchmark,DB有完整链:报告+审查+批复,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_010,海翔塑胶制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,experience_rule_source,DB有完整链,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_011,N森塑胶制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,reference_only,需确认工艺,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_012,安创塑胶制品,C2929,塑料零件,顺德,Y,Y,Y,N,Y,Y,Y,Y,Y,mvp_benchmark,2024年批复 环0303[2024]29号,core,1,0,1,0,1,1,1,1,B,受理+批复(3/4件)
SH_013,佛山东瑜塑料制品有限公司新建项目,C2929,,,N,Y,N,N,,Y,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山东瑜塑料制品有限公司新建项目.docx | 提取代码: C2929,C3525",core,,,,,,,,,B,
SH_014,佛山市京耘科技有限公司新建项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山市京耘科技有限公司新建项目.docx | 提取代码: C2929,C4220",core,,,,,,,,,B,
SH_015,佛山市华泷彩科技有限公司新建项目,C2643,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山市华泷彩科技有限公司新建项目.docx | 提取代码: C2643,C2929,C4220",core,,,,,,,,,B,
SH_016,佛山市巨人电器有限公司新建项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,本地扫描添加 | 原始文件: 终稿-佛山市巨人电器有限公司新建项目.docx | 提取代码: C2929,core,,,,,,,,,B,
SH_017,佛山市盛之强电器有限公司建设项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山市盛之强电器有限公司建设项目.docx | 提取代码: C2929,C4220",core,,,,,,,,,B,
SH_018,佛山市顺德区共诺电子元件厂搬迁项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,本地扫描添加 | 原始文件: 终稿-佛山市顺德区共诺电子元件厂搬迁项目.docx | 提取代码: C2929,core,,,,,,,,,B,
SH_019,佛山市顺德区华祥坤工艺电器有限公司扩建项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,本地扫描添加 | 原始文件: 终稿-佛山市顺德区华祥坤工艺电器有限公司扩建项目.docx | 提取代码: C2929,core,,,,,,,,,B,
SH_020,佛山市顺德区良钿电器有限公司迁改扩建项目,C2921,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山市顺德区良钿电器有限公司迁改扩建项目.docx | 提取代码: C2921,C2923",core,,,,,,,,,B,
SH_021,佛山市顺德润芬塑料厂建设项目,C2926,,,N,Y,N,N,,Y,,,,mvp_benchmark,本地扫描添加 | 原始文件: 终稿-佛山市顺德润芬塑料厂建设项目.docx | 提取代码: C2926,core,,,,,,,,,B,
SH_022,佛山诗佳格科技有限公司新建项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山诗佳格科技有限公司新建项目.docx | 提取代码: C2929,C4220",core,,,,,,,,,B,
REVIEW_001,025_（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: 025_202304281553531506（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_002,077_佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 077_佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_003,083_报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 083_报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_004,佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表（污染影响类）修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 20230418163527231120230418佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表（污染影响类）修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_005,（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: 202304281553531506（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
SH_023,涂料颜料_佛山顺德_佛山市嘉柏丽涂料有限公司迁扩建项目_报告表,C2641,,,N,N,N,N,,Y,,,,reference_only,本地扫描添加 | 原始文件: S03_涂料颜料_佛山顺德_佛山市嘉柏丽涂料有限公司迁扩建项目_报告表.docx | 提取代码: C2641,edge,,,,,,,,,C,
SH_024,印刷包装_佛山顺德_广东溯彭城印刷有限公司迁扩建项目_报告表,C2231,,,N,N,N,N,,Y,,,,reference_only,"本地扫描添加 | 原始文件: S05_印刷包装_佛山顺德_广东溯彭城印刷有限公司迁扩建项目_报告表.docx | 提取代码: C2231,C2312,C2319",edge,,,,,,,,,C,
REVIEW_006,印刷包装_佛山顺德_广东海通达包装有限公司建设项目_报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: S06_印刷包装_佛山顺德_广东海通达包装有限公司建设项目_报告表.docx | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_007,佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_008,—佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
