project_name,report_year,report_section,standard_type,environment_element,standard_name,standard_code,applicable_object,emission_form,pollutant_name,management_item,clause_or_table,limit_value,limit_unit,evidence_text,evidence_page,relation_status,check_note
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,声环境,声环境质量标准,GB3096-2008,厂界；声环境,,,环境质量执行标准,,65,dB,3 类标准，即昼间≤65dB(A)，夜间≤55dB(A)。 根据《声环境功能区划分技术规范》（GB/T15190-2014）：将交通干线边界线外 -定距离内的区域划分为4a类声环境功能区（相邻区域为3类声环境功能区，距离为 20±5m）。项目北面边界与伦桂路相邻，伦桂路为城市主干路，根据《佛山市生态环 境局关于印发 的通知》（佛环（2024）1号），伦桂路声 环境功能区划为4类区，噪声执行国家《声环境质量标准》（GB3096-2008）中的4a 类标准。因此，项目北面边界执行《声环境质量标准》（GB3096-2008）中的4a类标 准，即昼间≤70dB(A)，夜间≤55dB(A)，其余区域执行3类标准。 项目厂界外周边50米范围内不存在声环境保护目标，无需监测声环境质量现状并 评价达标情况，无需测厂界噪声。 4、生态环境质量现状 项目厂界周边不涉及生态环境保护目标，故不进行生态环境质量现状调查。 5、电磁辐射环境质量现状 项目不涉及电磁辐射类项目，故不进行电磁辐射现状监测与评价。 6、地下水、土壤环境质量现状 项目用水均来自市政供水管网，不进行地下水的开采，不会造成因取用地下水而 引起的环境水文地质问题，项目所在厂房地面已做好防渗漏措施，厂区和车间地面均 已做硬底化处理，本项目不存在土壤、地下水环境污染途径，根据《建设项目环境影 响报告表编制技术指南（污染影响类）》，因此，本项目不…,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,大气环境,环境空气质量标准,GB3095-2012,厂界；环境空气；大气环境；项目所在区域,,,环境质量执行标准,,按环境功能区执行,,量现状调查。 1、大气环境 项目所在区域属环境空气二类功能区，保护区域的空气环境质量，使其不因项目 实施受到影响。保护目标执行《环境空气质量标准》（GB3095-2012）及其修改单二 级标准。项目厂界外500米范围内不存在自然保护区、风景名胜区、居住区、文化区 和农村地区中人群较集中的区域等保护目标及已规划的大气环境保护目标。 2、声环境保护目标,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,声环境,声环境质量标准,GB3096-2008,厂界；声环境,,,环境质量执行标准,,按环境功能区执行,,护目 项目声环境质量需符合《声环境质量标准》（GB3096-2008）中的3类标准和4a 标 类标准。控制各种噪声声源，要求项目边界噪声达到《工业企业厂界环境噪声排放标 准》（GB12348-2008）3类标准和4类标准；厂界外50米范围内无声环境保护目标。 3、地下水环境保护目标,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,,,护目 项目声环境质量需符合《声环境质量标准》（GB3096-2008）中的3类标准和4a 标 类标准。控制各种噪声声源，要求项目边界噪声达到《工业企业厂界环境噪声排放标 准》（GB12348-2008）3类标准和4类标准；厂界外50米范围内无声环境保护目标。 3、地下水环境保护目标,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水,,,废水排放控制要求,三级；表3,,,污染物排放控制标准 | 1、废水排放标准本项目运营期间产生的生活污水经预处理后的达到广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段三级标准后，排入大门污水处理厂处理，尾水排入顺德支流。根据2013年7月11日颁布的《顺德区环境运输和城市管理局关于全区城镇污水处理厂尾水排放执行标准的通知》规定：新、扩和改建城镇污水处理厂尾水应符合《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A标准及广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段一级标准的较严值，具体排放限值见下表。表3-2污水排放标准（单位：mg/L，pH值除外）,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水,,,废水排放控制要求,三级,,,生活污水预处理标准 | 6-9 | 500 | 300 | 400 | | （DB44/26-2001）第二时段三级标准,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,,,,废水排放控制要求,,,,大门污水处理厂排放限值 | 6-9 | 40 | 10 | 10 | 5 | （GB18918-2002）一级A标准及（DB44/26-2001）第二时段一级标准的较严值,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,DA001；排气筒；有组织,有组织,NMHC,,表4；表1,,,2、废气排放标准项目吸塑、折边产生的废气经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30m高排气筒（DA001）排放。对于不采用氯乙烯单体加工聚氯乙烯，仅采用聚氯乙烯树脂进行注塑、挤塑加工的企业，有机废气不执行《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）、《烧碱、聚氯乙烯工业污染物排放标准》（GB15581-2016），执行广东省《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）。本项目吸塑、折边工艺原料包含PVC 塑料和PE 塑料；故吸塑、折边产生的非甲烷总烃有组织排放执行《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4 规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者的较严值。,,need_manual_check,原文表述为不执行/不适用该标准，需人工核查
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,DA001；排气筒；有组织,有组织,VOCs,,表4；表1,,,2、废气排放标准项目吸塑、折边产生的废气经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30m高排气筒（DA001）排放。对于不采用氯乙烯单体加工聚氯乙烯，仅采用聚氯乙烯树脂进行注塑、挤塑加工的企业，有机废气不执行《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）、《烧碱、聚氯乙烯工业污染物排放标准》（GB15581-2016），执行广东省《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）。本项目吸塑、折边工艺原料包含PVC 塑料和PE 塑料；故吸塑、折边产生的非甲烷总烃有组织排放执行《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4 规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者的较严值。,,need_manual_check,原文表述为不执行/不适用该标准，需人工核查
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,DA001；排气筒；有组织,有组织,NMHC,,表4；表1,,,2、废气排放标准项目吸塑、折边产生的废气经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30m高排气筒（DA001）排放。对于不采用氯乙烯单体加工聚氯乙烯，仅采用聚氯乙烯树脂进行注塑、挤塑加工的企业，有机废气不执行《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）、《烧碱、聚氯乙烯工业污染物排放标准》（GB15581-2016），执行广东省《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）。本项目吸塑、折边工艺原料包含PVC 塑料和PE 塑料；故吸塑、折边产生的非甲烷总烃有组织排放执行《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4 规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者的较严值。,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,DA001；排气筒；有组织,有组织,VOCs,,表4；表1,,,2、废气排放标准项目吸塑、折边产生的废气经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30m高排气筒（DA001）排放。对于不采用氯乙烯单体加工聚氯乙烯，仅采用聚氯乙烯树脂进行注塑、挤塑加工的企业，有机废气不执行《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）、《烧碱、聚氯乙烯工业污染物排放标准》（GB15581-2016），执行广东省《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）。本项目吸塑、折边工艺原料包含PVC 塑料和PE 塑料；故吸塑、折边产生的非甲烷总烃有组织排放执行《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4 规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者的较严值。,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,,,NMHC,,,,,NMHC | 30 | 80 | / | GB 31572-2015，含2024年修改单及DB44/2367-2022 二者较严值,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,,,NMHC,,,,,NMHC | 30 | 80 | / | GB 31572-2015，含2024年修改单及DB44/2367-2022 二者较严值,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,,,臭气浓度,,,20,无量纲,臭气浓度 | 15000（无量纲） | 20（无量纲） | GB14554-93,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,厂区内；无组织,无组织,NMHC,,表3,6,mg/m3,NMHC | $6 \mathrm { m g } / \mathrm { m } ^ { 3 }$ | 监控点处1h平均浓度值 | 在厂房外设置监控点 | 广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）表3厂区内NMHC无组织排放限值,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,固体废物/危险废物管理标准,固体废物,危险废物贮存污染控制标准,GB18597-2023,危险废物,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,| 鉴别标准通则》（GB34330-2017）等。一般工业固体废物储存周转场地需要满足防渗 漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2021年 版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物收集贮存运 输技术规范》（HJ2025-2012）相关要求。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,大气环境,环境空气质量标准,GB3095-2012,环境空气；大气环境,,,环境质量执行标准,二级,二级,,根据《佛山市顺德区生态环境保护“十四五”规划（2021-2025）》（顺府办发〔202216 号），项目所在地为大气环境二类功能区，执行《环境空气质量标准》（GB3095-2012）及其2018年修改单二级标准。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,大气环境,环境空气质量标准,GB3095-2012,环境空气,,,环境质量执行标准,二级,二级,,顺德区二氧化硫 $( \mathsf { S O } _ { 2 } )$ 、二氧化氮 $\left( \mathbf { N O } _ { 2 } \right)$ 、可吸入颗粒物 $\left( \mathrm { P M } _ { 1 0 } \right)$ 、细颗粒物 $\left( \mathbf { P } \mathbf { M } _ { 2 . 5 } \right)$ 、一氧化碳（CO）五项污染物年评价浓度均达到《环境空气质量标准》（GB3095-2012）二级标准限值2018年修改单二级标准，臭氧 $( \mathbf { O } _ { 3 } )$ 超二级浓度限值。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,大气环境,环境空气质量标准,GB3095-2012,环境空气,,,环境质量执行标准,二级,二级,,根据图3-1 可知，2023年顺德区二氧化硫 $\left( \mathsf { S O } _ { 2 } \right)$ 、二氧化氮 $\left( \mathbf { N O } _ { 2 } \right)$ 、可吸入颗粒物 $\left( \mathrm { P M } _ { 1 0 } \right)$ 、细颗粒物 $\left( \mathbf { P } \mathbf { M } _ { 2 . 5 } \right)$ 、一氧化碳（CO）五项污染物年评价浓度均达到《环境空气质量标准》（GB3095-2012）二级标准限值2018年修改单二级标准，臭氧$\left( \mathbf { O } _ { 3 } \right)$ 超标，判定顺德区为不达标区。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,其他政策符合性要求,,,,,,,政策/准入要求,,,,②持续推动结构优化调整， 提高清洁能源供给能力，严格控制煤炭消费总量，坚决遏制“两高”项目盲目发展，推进“一镇一业”集聚发展，大力发展多式联运，推进绿色货运配送，建设绿色物流片区，加快新能源汽车推广应用；,,policy_or_experience,政策或准入类内容，不进主标准关系
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,环境质量标准,地表水环境,地表水环境质量标准,GB3838-2002,地表水；顺德支流；水环境,,,环境质量执行标准,Ⅲ类,Ⅲ类,,根据《佛山市顺德区生态环境保护“十四五”规划（2021-2025）》，顺德支流水质执行《地表水环境质量标准》（GB3838-2002）Ⅲ类标准。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,排气筒,有组织,臭气浓度,,,15000,无量纲,项目吸塑、折边工序产生的臭气浓度执行《恶臭污染物排放标准》（GB14554-93）恶臭污染物排放标准值：当排气筒高度为 30米时，恶臭浓度≤15000（无量纲）；,,valid,
