project_name,report_year,report_section,standard_type,environment_element,standard_name,standard_code,applicable_object,emission_form,pollutant_name,management_item,clause_or_table,limit_value,limit_unit,evidence_text,evidence_page,relation_status,check_note
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,厂区内；无组织,无组织,VOCs,,表 3,,,厂区内 VOCs 执行广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）表 3 厂区内 VOCs 无组织排放限值。,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,三、区域环境质量现状、环境保护目标及评价标准,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,,,项目北面厂界噪声执行《工业企业厂界环境噪声排放标准》（GB12348-2008）4类标准，西面、南面、东面厂界噪声执行《工业企业厂界环境噪声排放标准》（GB12348-2008）3 类限值。,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,DA001；排气筒,有组织,NMHC,,,80,mg/m3,排气筒（DA001） | NMHC | 3.697 | GB 31572-2015，含2024年修改单及 DB44/2367-2022二者较严值 | 80 | 达标,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,DA001；排气筒,有组织,NMHC,,,80,mg/m3,排气筒（DA001） | NMHC | 3.697 | GB 31572-2015，含2024年修改单及 DB44/2367-2022二者较严值 | 80 | 达标,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,,,臭气浓度,,,15000,无量纲,| | 臭气浓度 | <15000（无量纲） | GB14554-93 | 15000（无量纲） | 达标,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,DA001；排气筒,有组织,NMHC,,表4；表1,,,1 | 排气筒DA001 | NMHC | 半年一次 | 《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）中表4规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者较严值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,DA001；排气筒,有组织,NMHC,,表4；表1,,,1 | 排气筒DA001 | NMHC | 半年一次 | 《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）中表4规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者较严值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,,,臭气浓度,,表2,,,臭气浓度 | 一年一次 | 《恶臭污染物排放标准》（GB14554-93）中表2恶臭污染物排放标准值,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,厂界,无组织,臭气浓度,,表1；二级,,,臭气浓度 | 《恶臭污染物排放标准》（GB14554-93）表1恶臭污染物厂界标准值二级新扩改建限值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,厂区内；无组织,无组织,VOCs,,表3,,,3 | 厂区内VOCs无组织排放监控点 | NMHC | 《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中的表3厂区内VOCs无组织排放限值的标准,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,厂区内；无组织,无组织,NMHC,,表3,,,3 | 厂区内VOCs无组织排放监控点 | NMHC | 《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中的表3厂区内VOCs无组织排放限值的标准,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,DW001,,,废水排放控制要求,三级,,,DW001 | 一般排放□ | 113.207095° | 22.842492° | 45t/a | 大门污水处理广 | 间断排放，排放期间流量不稳定且无规律，但不属于冲击型排放 | (DB44/26-2001）第二时段三级排放标准,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,,,本项目产生的噪声做好防护设施后再经自然衰减后，可使项目厂界噪声达《工业 企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准要求，对周围环境影 响不大。建议拟建工程采取以下治理措施： ①在噪声源控制方面，优先选用低噪声设备，在技术协议中对厂家产品的噪声指 标提出要求，使之满足噪声的有关标准。 ②在传播途径控制方面，应尽量把噪声控制在生产车间内，可在生产车间安装隔 声门窗。 ③在总平面布置上，项目尽量将高噪声设备布置在生产车间远离厂区办公区，远 离厂界，以减小运行噪声对厂界处噪声的贡献值，同时加强场区及厂界的绿化，形成 降噪绿化带。 ④加强设备维护，确保设备处于良好的运转状态，杜绝因设备不正常运转时产生 的高噪声现象。 ③加强职工环保意识教育，提倡文明生产，防止人为噪声；强化行车管理制度，,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,,,监测点位 厂界北面N1 厂界南面N2 | 监测时段 监测频次 | | 执行排放标准名称 《工业企业厂界环境噪声排放 标准》（GB12348-2008）中的 | 厂界噪声排放限值 昼间dB(A) 70,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,噪声排放标准/控制要求,固体废物,工业企业厂界环境噪声排放标准,GB12348-2008,厂界；危险废物,厂界,,,表4,,,厂界西面N3 厂界东面N4 4、固体废物 本项目运营期产生的固体废物主要有生活垃圾、一般工业固体废物和危险废物。 项目一般固体废物产生情况见表4-17，危险废物产生情况见表4-18，危险废物贮存场 所（设施）基本情况见表4-19。 | 1次/季度 备注：夜间不生产，故置夜间不进行监测。 | 4类标准 《工业企业厂界环境噪声排放 标准》（GB12348-2008）中的 3类标准 | | 65,,invalid_cross_block,表格行/环境要素与标准类型不一致
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水；三级化粪池,,SS,,三级,,,生活污水主要污染物有 $\mathrm { C O D } _ { \mathrm { C r } }$ 、 $\mathrm { B O D } _ { 5 }$ 、 $\mathrm { N H } _ { 3 ^ { - } } \mathrm { N }$ 、SS 等，项目生活污水经三级化粪池处理后达到广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段三级标准，通过市政污水管网进入大门污水处理厂集中处理，经处理后的尾水达标排入顺德支流。,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水,,,废水排放控制要求,三级,,,生活污水经预处理达到广东省地方标准《水污染物排放限值》(DB44/26-2001) 第二时段三级标准后，排入大门污水处理厂处理，尾水排入顺德支流。,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,70,dB,从上表结果可知，项目运营期间，设备采取降噪措施后，项目北面厂界噪声达到《工业企业厂界环境噪声排放标准》（GB12348-2008）中的4类标准（昼间等效声级≤70dB（A）），西面、南面、东面厂界噪声达到《工业企业厂界环境噪声排放标准》（GB12348-2008）中的 3 类标准（昼间等效声级≤65dB（A））。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,厂界噪声,,,70,dB,本项目周围50m范围内无环境敏感目标，在做好噪声防护工作后，能使北面厂界噪声达到《工业企业厂界环境噪声排放标准》（GB12348-2008）中的4类标准（昼间等效声级≤70dB（A）），西面、南面、东面厂界噪声达到《工业企业厂界环境噪声排放标准》（GB12348-2008）中的3 类标准（昼间等效声级≤65dB（A）），预计达标排放的噪声对周围环境影响不大。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,固体废物/危险废物管理标准,固体废物,危险废物贮存污染控制标准,GB18597-2023,危险废物,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,危险废物贮存场所须满足《危险废物贮存污染控制标准》（GB 18597-2023）相关要求，危险废物委托有资质的单位进行处理处置。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,固体废物/危险废物管理标准,固体废物,危险废物贮存污染控制标准,GB18597-2023,危险废物,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,危险废物从产生、收集、贮运、转运、处置等各个环节都可能因管理不善而进入环境，因此在各个环节中，抛落、渗漏、丢弃等不完善问题都可能存在，为了使各种危险废物能更好的达到合法合理处置的目的，本评价按照《危险废物贮存污染控制标准》（GB18597-2023）等国家相关法律，提出相应的治理措施，以进一步规范项目在收集、贮运、处置方式等操作过程。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,固体废物/危险废物管理标准,固体废物,危险废物贮存污染控制标准,GB18597-2023,危险废物,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,因此，建设单位应根据废物特性设置符合《危险废物贮存污染控制标准》（GB18597-2023）要求的危险废物暂存场所，且在暂存场所上空设有防雨淋设施，地面采取防渗措施，危险废物收集后分别临时贮存于废物储罐内；,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,四、主要环境影响和保护措施,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水；三级化粪池,,,废水排放控制要求,三级,,,本项目生活污水经三级化粪池处理后的达到广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段三级标准后，排入大门污水处理厂处理，尾水排入顺德支流。,,partial,未拆到单一污染因子，以管理/控制事项暂存
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,大气污染物排放标准/控制要求,大气环境,合成树脂工业污染物排放标准,GB31572-2015,DA001；排气筒；有组织,有组织,NMHC,,表4；表1,,,大气环境 | 有组织（DA001） | 吸塑、折边 | NMHC | 经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30米高排气筒（DA001）排放 | 《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者较严值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,DA001；排气筒；有组织,有组织,NMHC,,表4；表1,,,大气环境 | 有组织（DA001） | 吸塑、折边 | NMHC | 经包围型（集气罩+幕帘）集气罩收集后通过“活性炭吸附”处理设施处理后引至30米高排气筒（DA001）排放 | 《合成树脂工业污染物排放标准》（GB31572-2015，含 2024年修改单）中表4规定的大气污染物排放限值及广东省《固定污染源挥发性有机化合物综合排放标准》（DB44/2367-2022）中表1挥发性有机物排放限值二者较严值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,,,臭气浓度,,表2,,,臭气浓度 | 《恶臭污染物排放标准》（GB14554-93）中表2恶臭污染物排放标准值,,partial,标准正确但适用对象缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,大气污染物排放标准/控制要求,大气环境,恶臭污染物排放标准,GB14554-93,厂界；无组织,无组织,臭气浓度,,表1；二级,,,厂界无组织 | 吸塑、折边 | 臭气浓度 | 以无组织形式排放至车间内，加强车间通风换气 | 《恶臭污染物排放标准》（GB14554-93）表1恶臭污染物厂界标准值二级新扩改建限值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,大气污染物排放标准/控制要求,大气环境,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,厂区内；无组织,无组织,NMHC,,表3,,,厂区内无组织 | 吸塑、折边 | NMHC | / | 广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022)表3厂区内VOCs无组织排放限值,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,水污染物排放标准/控制要求,地表水环境,水污染物排放限值,DB44/26-2001,生活污水；三级化粪池,,CODCr,,三级,,,地表水环境 | 生活污水 | CODcr | 生活污水经三级化粪池处理后排至大门污水处理厂处理，尾水排入顺德支流 | 广东省《水污染物排放限值》（DB44/26-2001）第二时段三级标准,,partial,标准正确但限值缺失
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,噪声排放标准/控制要求,声环境,工业企业厂界环境噪声排放标准,GB12348-2008,厂界,厂界,,,,,,声环境 | 生产设备 | 建议合理布局厂房，使用低噪声的生产设备，墙体隔音、距离衰减 | 《工业企业厂界环境噪声排放标准》（GB12348-2008）3类、4类标准,,partial,未抽到合规污染因子
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,固体废物/危险废物管理标准,固体废物,危险废物贮存污染控制标准,GB18597-2023,危险废物,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,固体废 物 土壤及 | 体废物贮存及处置应符合法律法规及国家污染物控制标准要求。一般工业固废经 收集后交由专业回收公司回收处理，一般工业固体废物贮存过程应满足相应防渗 漏、防雨淋、防扬尘等环境保护要求，并依法处理处置；危险废物贮存场所须满 足《危险废物贮存污染控制标准》（GB18597-2023）相关要求，危险废物委托有 资质的单位进行处理处置。生活垃圾交由环卫部门处理。,,valid,
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,2024,五、环境保护措施监督检查清单,固体废物/危险废物管理标准,大气环境,危险废物贮存污染控制标准,GB18597-2023,厂区内；危废暂存间,,,危险废物贮存要求,,按危险废物贮存污染控制要求执行,,地下水 污染防 治措施 生态保 护措施 | 厂区内应进行硬底化处理，项目危废暂存间、原料仓库油类存放区应严格按照《危 险废物贮存污染控制标准》（GB18597-2023）有关规范设计，按要求做好防渗措 施；生产车间、一般固废暂存间、原料仓库等一般区域按要求采取防渗措施。 采取适当的环境保护治理措施后，并且加强管理和监督，项目产生的废气污染物、 水污染物及噪声均达标排放，项目在营运期间不会对周边的生态环境造成明显的 不利影响。,,invalid_cross_block,表格行/环境要素与标准类型不一致
