case_id,project_name,industry_code,original_comment,audit_module,related_case_experience_id,source_file,manual_check_needed
QA_pair_00010_废水,,C2929,批复要求：项目生活污水经三 级化粪池处理后，达到广东省《水污染物排放限值》（DB 44/26 —2001）中第二时段三级标准后，经市政污水管网排入大门污水 处理厂处理，尾水排入顺德支流。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00010_废气,,C2929,批复要求：项目破碎、雕刻和机加工修整（模具）工序产生的颗粒物执 行《合成树脂工业污染物排放标准》（GB 31572—2015）表 9 企业 边界大气污染物浓度限值和广东省《大气污染物排放限值》（DB 44/27—2001）第二时段无组织监控浓度限值的较严值。项目注塑 成型、烫金（转印）工序产生的非甲烷总烃有组织排放执行《合 成树脂工业污染物排放标准》（GB 31572—2015）表 4 大气污染物,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00010_噪声,,C2929,批复要求：厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348 —2008）中的 3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00010_危废,,C2929,批复要求：项目危险废物、一般工业固体废物贮存及处置应符合法律法 规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标准》（GB 18597—2023）相关要求，危险废物委托有资质的单位进行处理处 置。,,,qa_all_labeled.jsonl,Y
QA_pair_00014_废水,,C2929,批复要求：（一）项目冷却塔定期排水作为清静下水排至市政雨水管 网，项目生活污水经三级化粪池预处理达到广东省《水污染物排 放限值》（DB 44/26—2001）第二时段三级标准后排入杏坛污水 处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00014_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367—2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。1．项目挤出、检测工序产生废气经双层密闭收集通过沸石 转轮吸附+催化燃烧废气处理后引至 50m 高排气筒 G2 排放。项 目配料、混料粉尘收集后通过布袋除尘设施进行处理，然后通,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00014_噪声,,C2929,批复要求：（三）厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348—2008）3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00014_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符合 法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标 准》（GB 18597—2023）相关要求，危险废物委托有资质的单位 进行处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00017_废水,,C2929,批复要求：（一）项目生活污水经处理达到广东省《水污染物排放限值》 （DB 44/26—2001）第二时段三级标准后排入勒流污水处理厂处 理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00017_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367—2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。1．注塑废气经整室密闭负压收集，经活性炭吸附处理后通 过排气筒高空排放。其中，非甲烷总烃有组织排放执行《合成树 脂工业污染物排放标准》（GB 31572—2015，含 2024,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00017_噪声,,C2929,批复要求：（三）项目厂界噪声执行《工业企业厂界环境噪声排放标准》 （GB 12348—2008）3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00017_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符合 法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标 准》（GB 18597—2023）相关要求，危险废物委托有资质的单位 进行处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00019_废水,,C2929,批复要求：（一）生活污水经预处理达标后经市政管网排入北滘污水处 理厂处理，排放标准执行广东省《水污染物排放限值》（DB44/26- 2001）的第二时段三级标准。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00019_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367-2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。项目挤出成型和注塑成型工序 产生的废气经半密闭集气罩收集至一套“静电除油器+活性炭吸 附”装置处理后再通过 49m 高排气筒 DA001 排放。项目挤出成型 和注塑成型工序产生,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00019_噪声,,C2929,批复要求：（三）本项目营运期边界噪声执行《工业企业厂界环境噪声 排放标准》（GB12348-2008）中的 3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00019_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符合 法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标 准》（GB18597-2023）相关要求，危险废物委托有资质的单位进行 处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00052_废水,,C2929,批复要求：（一）生活污水经三级化粪池处理达到广东省《水污染物 排放限值》（DB44/26—2001）第二时段三级标准后排入容桂第 二污水处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00052_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367—2022）中相应控制要求，做好物料储存、转移和输 送等环节挥发性有机物无组织排放控制，并采取有效废气收集 处理措施，最大限度减少废气排放影响。1.项目破碎工序产生的颗粒物在车间内无组织排放。颗粒 物 无 组 织 排 放 执 行 广 东 省 《 大 气 污 染 物 排 放 限 值 》 （DB44/27-2001）第二时,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00052_噪声,,C2929,批复要求：（三）项目厂界噪声排放执行《工业企业厂界环境噪声排 放标准》（GB 12348—2008）3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00052_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符 合法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污 染控制标准》（GB 18597-2023）相关要求，危险废物委托有资 质的单位进行处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00058_废水,,C2929,批复要求：项目生活污水经三级化粪池处理达到广东省《水污染物 排放限值》(DB 44/26—2001)第二时段三级标准后排入勒流污水 处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00058_废气,,C2929,批复要求：落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367 —2022）中相应控制要求，做好物料储存、转移和输送等环节挥 发性有机物无组织排放控制，并采取有效废气收集处理措施，最 大限度减少废气排放影响。项目在丝印、清洗、烘干、注塑过程 产生有机废气，丝印、清洗产生的有机废气通过整室收集后经二 级活性炭处理。烘干废气经设备内自带的密闭抽风管道收集后经 二级活性炭处理。注塑废气经“集,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00058_噪声,,C2929,批复要求：厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348 —2008）2 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00058_危废,,C2929,批复要求：项目危险废物、一般工业固体废物贮存及处置应符合法律法 规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标准》（GB 18597—2023）相关要求，危险废物委托有资质的单位进行处理处 置。,,,qa_all_labeled.jsonl,Y
QA_pair_00061_废水,,C2929,批复要求：（一）生活污水经预处理达到广东省《水污染物排放限值》 （DB44/26-2001）第二时段三级标准后排入北滘污水处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00061_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367-2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。项目造粒工序产生的废气经整 室负压收集、注塑工序产生的废气经半密闭集气罩收集后，通过 “静电除油+活性炭吸附”装置处理后经排气筒高空排放。项目造 粒、注塑工序产生的非甲烷总烃、,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00061_噪声,,C2929,批复要求：（三）本项目营运期厂界东、南、北侧噪声执行《工业企业 厂界环境噪声排放标准》（GB12348-2008）3 类标准。厂界西侧噪 声执行《工业企业厂界环境噪声排放标准》（GB12348-2008）4 类 标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00061_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符合 法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标 准》（GB 18597-2023）相关要求，危险废物委托有资质的单位进 行处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00010_噪声,,C2929,批复要求：厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348 —2008）中的 3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00014_废水,,C2929,批复要求：（一）项目冷却塔定期排水作为清静下水排至市政雨水管 网，项目生活污水经三级化粪池预处理达到广东省《水污染物排 放限值》（DB 44/26—2001）第二时段三级标准后排入杏坛污水 处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
ORIG_1,20230206143628723云晟新材料 修改意见,C2929,用途,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_2,20230206143628723云晟新材料 修改意见,C2929,核实最大储存量，部分材料最大储存量仅够两天使用,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_3,20230206143628723云晟新材料 修改意见,C2929,分散缸数量、容积是否与产能匹配,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_4,20230206143628723云晟新材料 修改意见,C2929,请根据最新换水换碳要求去更换水帘柜废水,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_5,20230206143628723云晟新材料 修改意见,C2929,怎么区分那些清洗废水委外处理，那些经自建废水站处理。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_6,20230206143628723云晟新材料 修改意见,C2929,应当还要考虑VOCs,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_7,20230206143628723云晟新材料 修改意见,C2929,应该与试喷工序合并，该系数是喷漆+烘干工序的VOCs产生值，由于有水帘柜，需要干式过滤后再进活性炭。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230206143628723云晟新材料 修改意见\comments.jsonl,Y
ORIG_8,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,补充佛山市生态环境局关于印发《佛山市挥发性有机物排污总量指标精细化管理工作方案（试行）》的函相符性分析,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_9,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,这里写现项目，并非原项目,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_10,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,不需要定期更换吗？冷却水重复使用其硬度会不断增加，对设备具有一定影响。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_11,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,建议定期外排,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_12,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,？？？建议通过之前检测单位拿监测报告，如果没做过就承认没做过,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_13,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,是否合理？按最新核算方法核算。对原项目进行归真。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_14,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,处理效率？？核算最终排放量,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_15,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,按广东省工业源挥发性有机物减排量核算方法中处理效率计算,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_16,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,危险废物还有废旧灯管、以及水喷淋废水,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_17,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,请根据佛山市生态环境局关于印发《佛山市挥发性有机物排污总量指标精细化管理工作方案（试行）》的函申报总量应该为有组织加无组织,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_18,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,为何取10000？稀释废气浓度,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_19,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,生产时间是多少。核对不上。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_20,202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见),C2929,2.78/6.18/3（层数）,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目(修改意见)\comments.jsonl,Y
ORIG_21,202303091446684010云晟新材料修改意见,C2929,补充佛山市生态环境局关于印发《佛山市挥发性有机物排污总量指标精细化管理工作方案（试行）》的函相符性分析,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_22,202303091446684010云晟新材料修改意见,C2929,这不能处理喷涂废气吧？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_23,202303091446684010云晟新材料修改意见,C2929,落实是否可以达到回用水标准,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_24,202303091446684010云晟新材料修改意见,C2929,和上述部分有矛盾、21.6委外处理是如何得出来的，请交代一下。设备清洗用水不能直接回用？需要处理？？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_25,202303091446684010云晟新材料修改意见,C2929,是否合理？先通过水帘柜，气体会粘到水汽，是否影响滤芯除尘器的处理效率,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_26,202303091446684010云晟新材料修改意见,C2929,打样喷涂的水帘柜+二级活性炭和二级活性炭是怎么链接的，请编制单位好好描述。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_27,202303091446684010云晟新材料修改意见,C2929,请根据广东省工业源挥发性有机物减排量核算方法，确定收集效率,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_28,202303091446684010云晟新材料修改意见,C2929,根据广东省工业源挥发性有机物减排量核算方法，喷涂是根据物料衡算法核算VOCs排放量,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_29,202303091446684010云晟新材料修改意见,C2929,样品需要烘干不,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_30,202303091446684010云晟新材料修改意见,C2929,收集效率偏高,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_31,202303091446684010云晟新材料修改意见,C2929,于前文不一致,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_32,202303091446684010云晟新材料修改意见,C2929,前后处理设施不一致，请核对,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_33,202303091446684010云晟新材料修改意见,C2929,4.8024,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_34,202303091446684010云晟新材料修改意见,C2929,是否计算错。这是瞬时最高浓度还是平均浓度。请核实。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_35,202303091446684010云晟新材料修改意见,C2929,不建议部分处理，部分回用,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_36,202303091446684010云晟新材料修改意见,C2929,设置应急处理池，,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\202303091446684010云晟新材料修改意见\comments.jsonl,Y
ORIG_37,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,增加高新区区域环评相符性分析,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_38,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,补充机器生产效率，进行适配性分析。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_39,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,产品2000吨，原辅材料才1940吨？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_40,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,补充原辅材料物料平衡表，论证原辅材料使用量以及产品废气排放是否平衡,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_41,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,2000吨改性塑料是否需要24小时工作,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_42,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,确认排入雨水管还是污水管，是否进入杏坛污水厂处理。,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_43,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,一直循环？没有外排？？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_44,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,一直循环？没有外排？？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_45,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,没必要提,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_46,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,是否有其他依据，这个依据不太可行,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_47,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,抽检工序产生的非甲烷总烃需要计算,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_48,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,包围型集气罩收集效率应该为60%，保留10%余量，进行计算。原项目分析需要修改,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_49,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,补充企业边界达标分析，以及是否满足单位产品非甲烷总烃排放量,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
ORIG_50,20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见,C2929,？？？？？,,,E:\openclaw_archive\workspace\agent\workspace\ai_packages_extracted\ai_packages\20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-修改意见\comments.jsonl,Y
