item_id,question_type,project_name,is_negative_control,group,audit_judgement_score,report_evidence_score,review_comment_score,common_score_6,standard_basis_score,experience_basis_score,knowledge_use_score_4,total_score_10,false_positive,over_generalization,unsupported_standard,unsupported_experience,low_relevance_experience_used,pending_experience_used_as_strong_basis,manual_check_needed,notes
Q01,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,胶水VOCs超限值—A组无标准/经验支撑
Q02,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,活性炭更换周期—A组无标准/经验支撑
Q03,case_experience,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,收集效率—A组评审意见可操作性偏低
Q04,case_experience,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,总量替代—A组评审意见可操作性偏低
Q05,cross_check,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,收集效率多源—A组无标准/经验支撑
Q06,negative_control,康明新材料厂,Y,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,安全设施—A组无标准/经验支撑;negative_control
Q07,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,标准适用层级—A组无标准/经验支撑
Q08,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,VOCs物料储存—A组无标准/经验支撑
Q09,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,危废识别—A组无标准/经验支撑
Q10,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,风量核算—A组无标准/经验支撑
Q11,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,过滤风速—A组无标准/经验支撑
Q12,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,废活性炭量—A组无标准/经验支撑
Q13,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,复合工艺矛盾—A组无标准/经验支撑
Q14,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,冷却水隐性排放—A组无标准/经验支撑
Q15,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,环境风险缺失—A组无标准/经验支撑
Q16,cross_check,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,VOCs全链路—A组评审意见可操作性偏低
Q17,cross_check,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,危废×原辅料—A组无标准/经验支撑
Q18,cross_check,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,监测×排气筒—A组无标准/经验支撑
Q01,guide_explicit,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组胶水VOCs—STD_07标准支撑
Q02,guide_explicit,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组更换周期—STD_18+STD_17标准支撑
Q03,case_experience,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组收集效率—STD_14标准支撑
Q04,case_experience,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组总量替代—STD_22标准支撑
Q05,cross_check,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组多源收集—STD_14+STD_10标准支撑
Q06,negative_control,康明新材料厂,Y,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组安全设施—STD_24标准支撑;negative_control
Q07,guide_explicit,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组标准适用—STD_09标准支撑
Q08,guide_explicit,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组VOCs储存—STD_27标准支撑
Q09,guide_explicit,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组危废识别—STD_21+STD_35标准支撑
Q10,standard_calculation,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组风量核算—STD_15标准支撑
Q11,standard_calculation,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组过滤风速—STD_17标准支撑
Q12,standard_calculation,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组废活性炭量—STD_23标准支撑
Q13,case_experience,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组复合工艺—STD_05标准支撑
Q14,case_experience,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组冷却水—STD_19标准支撑
Q15,case_experience,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组环境风险—STD_38标准支撑
Q16,cross_check,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组VOCs全链路—STD_11+13+14标准支撑
Q17,cross_check,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组危废×原辅料—STD_35标准支撑
Q18,cross_check,康明新材料厂,N,B,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,B组监测×排气筒—STD_25标准支撑
Q01,guide_explicit,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_01 HIGH命中+2经验分
Q02,guide_explicit,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_02 HIGH命中+2经验分
Q03,case_experience,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_03 HIGH命中+2经验分
Q04,case_experience,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_06 HIGH命中+2经验分
Q05,cross_check,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_03+EXP_04双HIGH命中+2经验分
Q06,negative_control,康明新材料厂,Y,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,negative_control: C组未误用经验卡,零误报验证通过
Q07,guide_explicit,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分
Q08,guide_explicit,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分
Q09,guide_explicit,康明新材料厂,N,C,2,2,2,6,2,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXP_05 MEDIUM pending仅+1经验分
Q10,standard_calculation,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分;relevance成功拦截
Q11,standard_calculation,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分
Q12,standard_calculation,康明新材料厂,N,C,2,2,2,6,2,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXP_05 MEDIUM pending仅+1经验分
Q13,case_experience,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_04 HIGH命中+2经验分
Q14,case_experience,康明新材料厂,N,C,2,2,2,6,2,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXP_08 MEDIUM pending仅+1经验分
Q15,case_experience,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分
Q16,cross_check,康明新材料厂,N,C,2,2,2,6,2,2,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组:EXP_01+EXP_03双HIGH命中+2经验分
Q17,cross_check,康明新材料厂,N,C,2,2,2,6,2,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EXP_05 MEDIUM pending仅+1经验分
Q18,cross_check,康明新材料厂,N,C,2,2,2,6,2,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,C组无经验卡命中+0经验分
